Code,Types,BGD_EU,CHN_EU,VNM_EU,CAM_EU,TUR_EU,IND_EU,BGD_US,CHN_US,VNM_US,CAM_US,TUR_US,IND_US,BGD_UK,CHN_UK,VNM_UK,CAM_UK,TUR_UK,IND_UK
'610453,MMF,3.597013453,31.29530589,1.673152013,4.074672632,13.6334599,1.539559863,2.616628074,36.55318697,26.94807973,4.572811028,1.119930299,1.326854212,9.492636486,19.76225987,2.072858151,2.091613007,16.61858874,2.945405507
'610463,MMF,6.545486768,23.67401846,6.595242356,9.317586894,6.389308604,1.090235599,1.357704185,20.45584326,33.24964459,6.569064058,0.736076246,0.239042617,8.14610812,22.31627394,4.509542393,11.82013536,7.781702317,1.177279389
'610520,MMF,12.01860071,15.20271484,6.464389927,3.262877815,7.655867942,1.216818552,2.088503589,9.61743314,28.7631752,1.73908914,0.507684662,0.786151807,11.6778598,15.71881458,7.867732762,2.931871533,4.269823598,1.227272282
'610620,MMF,7.165719502,19.61812458,4.362290376,3.927072777,17.89274963,2.031796046,1.906569515,22.98617255,22.92033263,4.99032239,1.175145968,2.638958142,6.864329582,16.27964209,4.402603509,3.97872528,19.26699186,3.751726367
'610712,MMF,6.873248003,29.54224515,2.881931585,2.264837213,3.062588635,1.226059177,6.459670847,34.97174579,21.41967655,2.712256222,0.232582846,5.25668163,9.067576899,34.6287635,1.102179606,1.833057571,7.482053754,2.567843975
'610719,MMF,1.664921387,27.47798311,3.671867349,0.115263788,1.860794491,1.218180038,1.641282235,47.47621928,34.51366361,0.995216363,0.456369935,8.038708968,7.108886108,63.31914894,0.600750939,0,6.403003755,2.448060075
'610722,MMF,4.762074306,57.57273661,0.98742575,2.608607931,2.317839531,2.752211917,2.700743887,55.02692691,7.756560603,31.65899963,0.012683329,0.515587409,4.468049233,74.00101163,0.079244647,5.928174001,1.433147867,7.425392008
'610811,MMF,3.068465007,15.95487663,1.560865182,0.352882987,1.729221755,0.214963761,0.371540503,33.65853659,2.600783521,0.457475041,0.379122962,1.117148995,21.79141293,19.43266785,0.924998073,27.00223541,0.971247977,0.131041394
'610822,MMF,9.964246564,28.51545713,5.905670436,1.291960888,1.225828024,0.467727248,5.676952194,40.56951763,20.30090929,0.522996284,0.188860877,2.045966249,17.2540049,39.67375006,2.370275316,11.68748445,2.056439333,0.70717708
'610829,MMF,2.815540992,29.10776508,2.226976475,0.196789976,2.897687266,1.031793316,0.423443364,48.94620345,2.521412761,0.019247426,3.897603696,0.038494851,19.84844781,45.61581171,0.261898942,10.68896882,3.390718301,2.13360338
